Id_POI,Name_POI,Name_english,Longitude,Latitude,Category,Checkin user number,Category_en
B2094655D464A0FE409A,武汉国际广场购物中心, Wuhan International Plaza Shopping Center,114.270146,30.580791,商场,13104,shopping mall
B2094757D06FA2FE4692,光谷国际广场, Optics Valley International Plaza,114.397504,30.507444,商场,10009,shopping mall
B2094655D464A4FA429C,群光广场, Qunguang Plaza,114.355253,30.525617,商场,9541,shopping mall
B2094655D464A5FB419E,国立武汉大学, National Wuhan University,114.35844,30.53409,高等院校,7500,College
B2094655D56DABF84593,新佳丽时尚广场 Happy站台, New Belle Fashion Plaza Happy platform,114.291241,30.578768,商场,6198,shopping mall
B2094655D56CA0FA4998,销品茂, Pinmao,114.34376,30.58903,商场,5472,shopping mall
B2094655D56DAAF94899,中南财经政法大学南湖校区, Zhongnan University of Economics and Law Nanhu Campus,114.38855,30.4789,高等院校,5269,College
B2094757D06FAAF54593,武汉经开万达广场, Wuhan Economic Development Wanda Plaza,114.163466,30.505137,商场,4725,shopping mall
B2094655D464A2F4479A,归元禅寺, Guiyuan Temple,114.26013,30.5457,寺庙道观,4661,Temple
B2094655D56CA3FF409D,湖北大学(武昌本部校区), Hubei University ( Wuchang headquarters campus ),114.32936,30.57727,高等院校,4308,College
B2094757D06FA5FD4198,武汉摩尔城, Wuhan Moore City,114.207952,30.558528,商场,4261,shopping mall
B2094655D56EA7F8409D,光谷时间广场, Optics Valley Time Square,114.39672,30.49469,商场,4197,shopping mall
B2094757D06FA7F5469B,光谷软件园, Optics Valley Software Park,114.403097,30.474922,楼宇,3954,Building
B2094655D464ABFC409E,武商亚贸广场, Wushang Asia Trade Plaza,114.34292,30.52943,商场,3466,shopping mall
B2094757D06FAAFE469F,华中科技大学同济医学院附属同济医院," Huazhong University of Science Tongji Hospital, Tongji Medical College",114.262128,30.579312,医院,3387,Hospital
B2094655D464AAFC429A,大洋百货(中山大道店), Ocean Department Store ( Zhongshan Avenue Store ),114.29016,30.57763,商场,3032,shopping mall
B2094757D06FA6FC449D,华中科技大学光谷体育馆, Huazhong University of Science and Technology Optics Valley Gymnasium,114.418098,30.507542,运动场所,2841,Sports place
B2094655D464A4FE459B,武汉大学信息学部," Department of Informatics, Wuhan University",114.359585,30.528172,高等院校,2817,College
B2094655D464A0FF499A,武汉市第一医院, Wuhan First Hospital,114.27166,30.57235,医院,2645,Hospital
B2094757D06FA4FC4099,广州军区武汉总医院(中南医院、陆军总院)," Wuhan General Hospital of Guangzhou Military Region ( Zhongnan Hospital, Army General Hospital )",114.344322,30.530001,医院,2640,Hospital
B2094757D068A3FB4199,华中科技大学同济医学院附属协和医院," Union Hospital Affiliated to Tongji Medical College, Huazhong University of Science and Technology",114.275742,30.58349,医院,2575,Hospital
B2094757D06BABFA4499,武汉大学东湖分校, Wuhan University East Lake Branch,114.316418,30.422749,高等院校,2346,College
B2094655D465A5F84792,武汉理工大学马房山校区东院," East Campus, Mafangshan Campus, Wuhan University of Technology",114.35106,30.52153,高等院校,2336,College
B2094655D56CA2FC4398,武汉理工大学鉴湖校区, Wuhan University of Technology Jianhu Campus,114.34324,30.51309,高等院校,2187,College
B2094655D464A3FB459D,武汉大学人民医院, Wuhan University People's Hospital,114.29853,30.53515,医院,2086,Hospital
B2094655D56CA1FF4792,汉口东部购物公园, East Hankou Shopping Park,114.31677,30.6236,商场,2083,shopping mall
B2094655D46BA4FC429A,武汉万达商业广场, Wuhan Wanda Commercial Plaza,114.29164,30.57736,商场,2013,shopping mall
B2094757D06FA4F9439E,武汉国际会展中心,Wuhan International Convention and Exhibition Center,114.275453,30.582323,楼宇,1971,Building
B2094757D06FA6FB4093,武汉大学中南医院, Wuhan University Zhongnan Hospital,114.353635,30.552967,医院,1917,Hospital
B2094655D464A4FB4893,华中师范大学(东门), Huazhong Normal University ( East Gate ),114.36772,30.51499,高等院校,1872,College
B2094757D069A4F5489E,沃尔玛(坐标城光谷天地店), walmart ( Coordinate City Optics Valley Tiandi Store ),114.410516,30.47835,超级市场,1861,supermarket
B2094655D46BAAF5469E,武汉理工大学升升学生公寓, Shengsheng Student Apartment of Wuhan University of Technology,114.343987,30.507397,住宅区,1853,Residential area
B2094655D465A5F8439E,VOX LIVEHOUSE 酒吧, VOX LIVEHOUSE bar,114.39986,30.51234,酒吧,1757,bar
B2094757D06AA0FD469F,沃尔玛(南湖城市广场店), walmart ( Nanhu City Plaza Store ),114.325257,30.505154,超级市场,1661,supermarket
B2094757D068A4FD469B,南湖花园, South Lake Garden,114.316267,30.510898,住宅区,1619,Residential area
B2094655D464AAF4409A,华中科技大学东校区, East Campus of Huazhong University of Science and Technology,114.43287,30.50605,高等院校,1598,College
B2094757D16AAAF9419B,新世界国贸大厦, New World International Trade Building,114.269613,30.594837,楼宇,1544,Building
B2094655D465ABF8459D,武汉科技大学青山校区, Wuhan University of Science and Technology Qingshan Campus,114.36961,30.62335,高等院校,1526,College
B2094655D464A0FE459F,世贸广场, World Trade Plaza,114.2692,30.58017,商场,1476,shopping mall
B2094655D469A6F8419F,武汉体育中心体育馆(东广场), Wuhan Sports Center Gymnasium ( East Plaza ),114.17504,30.50074,综合体育馆,1423,Comprehensive Stadium
B2094757D06AA1F8479C,新华路体育场, Xinhua Road Stadium,114.274582,30.586611,运动场所,1396,Sports place
B2094655D46DA1FF4792,湖北警官学院(解放大道), Hubei Police Academy ( Liberation Avenue ),114.20638,30.59159,高等院校,1395,College
B2094655D56DABF4489E,华中师范大学(北门), Huazhong Normal University ( North Gate ),114.36093,30.52418,高等院校,1364,College
B2094757D06BA0FA4792,muse, muse,114.297939,30.585435,酒吧,1338,bar
B2094757D06FA6FF419F,武汉大学工学部, Wuhan University Faculty of Engineering,114.367741,30.544638,高等院校,1286,College
B2094655D46BA3FF4898,新民众乐园, New People's Paradise,114.28686,30.57586,商场,1252,shopping mall
